SeniorCitizen,tenure,MonthlyCharges,TotalCharges,avg_monthly_spend,num_addon_services,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_bucket_7-12mo,tenure_bucket_13-24mo,tenure_bucket_25-48mo,tenure_bucket_49mo+,churn_flag,customerID
0,1,29.85,29.85,29.85,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0,7590-VHVEG
0,34,56.95,1889.5,1.675,2,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0,5575-GNVDE
0,2,53.85,108.15,26.925,2,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1,3668-QPYBK
0,45,42.3,1840.75,0.94,3,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,7795-CFOCW
0,2,70.7,151.65,35.35,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,9237-HQITU
0,8,99.65,820.5,12.45625,3,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,1,9305-CDSKC
0,22,89.1,1949.4,4.05,2,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,0,1452-KIOVK
0,10,29.75,301.9,2.975,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0,6713-OKOMC
0,28,104.8,3046.05,3.742857142857143,4,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,1,7892-POOKP
0,62,56.15,3487.95,0.9056451612903226,2,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,6388-TABGU
0,13,49.95,587.45,3.8423076923076924,1,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,0,9763-GRSKD
0,16,18.95,326.8,1.184375,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,0,7469-LKBCI
0,58,100.35,5681.1,1.7301724137931034,3,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,0,8091-TTVAX
0,49,103.7,5036.3,2.1163265306122447,4,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,1,0280-XJGEX
0,25,105.5,2686.05,4.22,5,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,0,5129-JLPIS
0,69,113.25,7895.15,1.641304347826087,6,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,3655-SNQYZ
0,52,20.65,1022.95,0.3971153846153846,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,0,8191-XWSZG
0,71,106.7,7382.25,1.5028169014084507,4,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,0,9959-WOFKT
0,10,55.2,528.35,5.5200000000000005,2,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1,4190-MFLUW
0,21,90.05,1862.9,4.288095238095238,3,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,0,4183-MYFRB
1,1,39.65,39.65,39.65,2,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,1,8779-QRDMV
0,12,19.8,202.25,1.6500000000000001,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0,1680-VDCWW
0,1,20.15,20.15,20.15,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,1,1066-JKSGK
0,58,59.9,3505.1,1.032758620689655,2,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0,3638-WEABW
0,49,59.6,2970.3,1.2163265306122448,3,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,6322-HRPFA
0,30,55.3,1530.6,1.8433333333333333,2,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,6865-JZNKO
0,47,99.35,4749.15,2.1138297872340424,3,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,1,6467-CHFZW
0,1,30.2,30.2,30.2,1,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,8665-UTDHZ
0,72,90.25,6369.45,1.2534722222222223,6,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0,5248-YGIJN
0,17,64.7,1093.1,3.8058823529411767,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,1,8773-HHUOZ
1,71,96.35,6766.95,1.3570422535211266,4,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0,3841-NFECX
1,2,95.5,181.65,47.75,3,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,0,4929-XIHVW
0,27,66.15,1874.45,2.45,4,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,0,6827-IEAUQ
0,1,20.2,20.2,20.2,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,7310-EGVHZ
1,1,45.25,45.25,45.25,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,3413-BMNZE
0,72,99.9,7251.7,1.3875000000000002,4,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0,6234-RAAPL
0,5,69.7,316.9,13.940000000000001,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,6047-YHPVI
0,46,74.8,3548.3,1.626086956521739,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0,6572-ADKRS
0,34,106.35,3549.25,3.1279411764705882,4,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,1,5380-WJKOV
0,11,97.85,1105.4,8.895454545454545,3,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,1,8168-UQWWF
0,10,49.55,475.7,4.955,1,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,0,8865-TNMNX
0,70,69.2,4872.35,0.9885714285714287,3,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,0,9489-DEDVP
0,17,20.75,418.25,1.2205882352941178,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,0,9867-JCZSP
0,63,79.85,4861.45,1.2674603174603174,5,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,0,4671-VJLCL
0,13,76.2,981.45,5.861538461538462,4,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,0,4080-IIARD
0,49,84.5,3906.7,1.7244897959183674,1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,0,3714-NTNFO
0,2,49.25,97.0,24.625,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,5948-UJZLF
0,2,80.65,144.15,40.325,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,1,7760-OYPDY
0,52,79.75,4217.8,1.5336538461538463,4,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0,7639-LIAYI
0,69,64.15,4254.1,0.9297101449275363,3,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0,2954-PIBKO
1,43,90.25,3838.75,2.0988372093023258,2,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,0,8012-SOUDQ
0,15,99.1,1426.4,6.6066666666666665,4,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,1,9420-LOJKX
1,25,69.5,1752.65,2.78,3,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,0,6575-SUVOI
1,8,80.65,633.3,10.08125,1,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,1,7495-OOKFY
1,60,74.85,4456.35,1.2474999999999998,5,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,True,0,4667-QONEA
1,18,95.45,1752.55,5.302777777777778,2,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,1,1658-BYGOY
0,63,99.65,6311.2,1.581746031746032,3,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,True,0,8769-KKTPH
1,66,108.45,7076.35,1.6431818181818183,5,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,True,0,5067-XJQFU
0,34,24.95,894.3,0.7338235294117647,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,0,3957-SQXML
0,72,107.5,7853.7,1.4930555555555556,4,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0,5954-BDFSG
0,47,100.5,4707.1,2.1382978723404253,3,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,0,0434-CSFON
0,60,89.9,5450.7,1.4983333333333335,2,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0,1215-FIGMP
0,72,42.1,2962.0,0.5847222222222223,3,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0526-SXDJP
0,18,54.4,957.1,3.022222222222222,2,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,0,0557-ASKVU
0,9,94.4,857.25,10.488888888888889,2,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,1,5698-BQJOH
0,3,75.3,244.1,25.099999999999998,4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,0,5122-CYFXA
0,47,78.9,3650.35,1.6787234042553192,1,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,0,8627-ZYGSZ
0,31,79.2,2497.2,2.5548387096774197,5,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,0,3410-YOQBQ
0,50,20.15,930.9,0.40299999999999997,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,0,3170-NMYVV
0,10,79.85,887.35,7.984999999999999,2,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,0,7410-OIEDU
0,1,49.05,49.05,49.05,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,2273-QCKXA
0,52,20.4,1090.65,0.3923076923076923,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0,0731-EBJQB
1,64,111.6,7099.0,1.74375,5,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,0,1891-QRQSA
0,62,24.25,1424.6,0.3911290322580645,0,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,0,8028-PNXHQ
0,3,64.5,177.4,21.5,3,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,0,5630-AHZIL
1,56,110.5,6139.5,1.9732142857142858,5,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,0,2673-CXQEU
