customerID,churn_probability,monthly_revenue,annual_revenue_at_risk,retention_priority_score
1400-MMYXY,0.947,105.9,1203.75,100.31
5419-JPRRN,0.981,101.45,1194.67,99.56
6496-SLWHQ,0.945,105.0,1191.32,99.28
7181-BQYBV,0.968,102.45,1190.09,99.17
1875-QIVME,0.95,104.4,1190.06,99.17
7216-EWTRS,0.982,100.8,1188.36,99.03
4587-VVTOX,0.924,105.3,1168.11,97.34
0107-YHINA,0.976,99.75,1167.92,97.33
3178-FESZO,0.969,100.25,1166.03,97.17
5052-PNLOS,0.919,105.35,1161.41,96.78
6023-YEBUP,0.952,100.95,1153.39,96.12
2081-VEYEH,0.879,107.95,1138.13,94.84
5760-IFJOZ,0.876,107.95,1135.32,94.61
2656-TABEH,0.943,100.2,1134.25,94.52
5299-SJCZT,0.93,101.55,1133.41,94.45
6734-GMPVK,0.897,105.3,1133.28,94.44
9681-OXGVC,0.939,100.5,1132.08,94.34
0295-PPHDO,0.982,95.45,1125.13,93.76
5178-LMXOP,0.984,95.1,1122.98,93.58
3992-YWPKO,0.85,109.9,1120.63,93.39
0702-PGIBZ,0.917,101.7,1118.97,93.25
2265-CYWIV,0.933,99.6,1115.07,92.92
4910-GMJOT,0.982,94.6,1114.49,92.87
3389-YGYAI,0.88,105.5,1113.77,92.81
8884-ADFVN,0.909,101.95,1112.23,92.69
3158-MOERK,0.963,96.0,1109.39,92.45
9300-AGZNL,0.983,94.0,1109.37,92.45
8149-RSOUN,0.982,93.85,1105.95,92.16
1393-IMKZG,0.961,95.85,1105.66,92.14
9057-SIHCH,0.953,96.6,1104.26,92.02
9497-QCMMS,0.984,93.55,1104.22,92.02
2027-FECZV,0.862,106.7,1103.13,91.93
6857-VWJDT,0.961,95.65,1102.68,91.89
6356-ELRKD,0.961,95.6,1102.2,91.85
2446-BEGGB,0.934,98.25,1101.3,91.77
7851-WZEKY,0.964,95.15,1100.6,91.72
0684-AOSIH,0.965,95.0,1099.99,91.67
3292-PBZEJ,0.822,111.4,1098.88,91.57
6521-YYTYI,0.977,93.3,1094.03,91.17
3049-SOLAY,0.957,95.2,1093.04,91.09
4822-RVYBB,0.905,100.6,1092.1,91.01
2720-WGKHP,0.968,94.0,1091.71,90.98
5150-ITWWB,0.959,94.85,1091.31,90.94
5567-WSELE,0.961,94.6,1090.88,90.91
0880-TKATG,0.899,101.15,1090.67,90.89
6861-XWTWQ,0.916,99.25,1090.57,90.88
3606-TWKGI,0.85,106.9,1090.28,90.86
4424-TKOPW,0.968,93.85,1090.18,90.85
7024-OHCCK,0.966,93.85,1088.35,90.7
6108-OQZDQ,0.926,97.95,1088.31,90.69
8098-LLAZX,0.95,95.45,1088.26,90.69
0781-LKXBR,0.902,100.5,1087.42,90.62
0754-UKWQP,0.945,95.85,1087.19,90.6
4132-KALRO,0.897,100.85,1085.91,90.49
9223-UCPVT,0.957,94.4,1084.39,90.37
2369-UAPKZ,0.863,104.1,1078.65,89.89
1374-DMZUI,0.952,94.3,1077.19,89.77
7938-OUHIO,0.909,98.7,1076.7,89.72
9305-CDSKC,0.899,99.65,1075.55,89.63
3902-FOIGH,0.884,101.35,1075.41,89.62
2968-SSGAA,0.89,100.6,1074.92,89.58
2012-NWRPA,0.9,99.55,1074.68,89.56
3811-VBYBZ,0.896,99.8,1072.85,89.4
6688-UZPWD,0.876,102.0,1072.05,89.34
4078-SAYYN,0.887,100.75,1071.83,89.32
1455-UGQVH,0.906,98.5,1070.76,89.23
9221-OTIVJ,0.85,104.85,1069.77,89.15
7450-NWRTR,0.896,99.45,1069.61,89.13
0897-FEGMU,0.895,99.5,1068.69,89.06
7398-SKNQZ,0.936,94.9,1066.42,88.87
4929-XIHVW,0.93,95.5,1065.71,88.81
3988-RQIXO,0.972,91.3,1065.37,88.78
2725-KXXWT,0.974,90.75,1061.01,88.42
0680-DFNNY,0.874,101.1,1060.36,88.36
7274-RTAPZ,0.973,90.55,1057.22,88.1
7218-HKQFK,0.935,94.2,1056.64,88.05
3319-DWOEP,0.919,95.75,1055.58,87.96
0365-BZUWY,0.857,102.55,1054.92,87.91
6350-XFYGW,0.928,94.75,1054.89,87.91
3006-XIMLN,0.933,94.2,1054.23,87.85
7379-FNIUJ,0.877,100.2,1054.09,87.84
0329-GTIAJ,0.897,97.9,1053.49,87.79
8775-LHDJH,0.968,90.6,1052.55,87.71
3387-VATUS,0.924,94.85,1052.06,87.67
8118-LSUEL,0.824,106.4,1051.6,87.63
9944-HKVVB,0.921,95.1,1051.47,87.62
9725-SCPZG,0.964,90.85,1050.46,87.54
5956-YHHRX,0.839,104.35,1050.29,87.52
3027-ZTDHO,0.973,89.9,1049.99,87.5
5349-IECLD,0.921,94.95,1049.39,87.45
1075-BGWOH,0.884,98.75,1047.58,87.3
5995-SNNEW,0.835,104.45,1047.03,87.25
4192-GORJT,0.923,94.45,1046.55,87.21
5419-CONWX,0.873,99.8,1045.99,87.17
0970-ETWGE,0.973,89.55,1046.1,87.17
6892-XPFPU,0.836,104.25,1045.98,87.16
8413-VONUO,0.91,95.65,1044.79,87.07
1941-HOSAM,0.966,90.1,1044.38,87.03
5167-ZFFMM,0.957,90.85,1043.26,86.94
1415-YFWLT,0.973,89.3,1043.14,86.93
8625-AZYZY,0.83,104.65,1042.77,86.9
7577-SWIFR,0.974,89.25,1042.76,86.9
5380-AFSSK,0.925,93.9,1042.32,86.86
5797-APWZC,0.958,90.6,1041.24,86.77
1455-ESIQH,0.974,89.1,1041.09,86.76
7548-SEPYI,0.901,96.25,1041.02,86.75
7294-TMAOP,0.958,90.55,1040.71,86.73
4298-OYIFC,0.838,103.45,1040.59,86.72
3621-CEOVK,0.865,100.2,1040.62,86.72
